Mot,Traduction,Valeur
simpático,sympathique,mélioratif
impaciente,impatient,péjoratif
tímido.a,timide,péjoratif
paranoico,paranoïaque,péjoratif
enérgico.a,énergique,mélioratif
inteligente,intelligent.e,mélioratif
negativo.a,négatif.ve,péjoratif
creativo.a,créatif.ve,mélioratif
amable,aimable - gentil,mélioratif
divertido.a,amusant.e,mélioratif
vago.a - perezoso.a,fainéant.e,péjoratif
tonto.a,débile,péjoratif
desconfiado.a,méfiant.e,péjoratif
celoso.a,jaloux.ouse,péjoratif
discreto.a,discret.ète,mélioratif
caprichoso.a,capricieux.euse,péjoratif
generoso.a,généreux.euse,mélioratif
trabajador.a,travailleur.euse,mélioratif
optimista,optimiste,mélioratif
pesimista,pessimiste,péjoratif
entusiasta,enthousiaste,mélioratif
sonriente,souriant.e,mélioratif
fiel,fidèle,mélioratif
empollón.ona,bûcheur.euse (fam. : intello),mélioratif
rebelde,rebelle,péjoratif
revoltoso.a,turbulent.e,péjoratif
tacaño.a,avare (fam. : radin),péjoratif
terco.a,têtu.e,péjoratif
maduro.a,mûr.e,mélioratif
infantil,infantile - puéril,péjoratif
cariñoso.a,tendre,mélioratif
agresivo.a,agressif.ive,péjoratif
seguro.a,sûr.e,mélioratif
inseguro.a,incertain.e,péjoratif
inocente,inocent,mélioratif
culpable,coupable,péjoratif
razonable,raisonable,mélioratif
atontado.a,étourdi.e,péjoratif
cotilla,commère,péjoratif
sincero.a,sincère,mélioratif
honesto.a,honnête,mélioratif
educado.a,bien élevé.e,mélioratif
maniático.a,maniaque,péjoratif